Subject_ID,Question,Answer,Age,Sex
s101,1. What is the Coronavirus?,Buhbu virus,2,m
s101,2. Who is the president?,Munnaru,2,m
s101,3. How many days have we been in lockdown?,Bandhu korllaafa,2,m
s101,4. Do you want to go back to school?,Phone a nukulhey hoa hoa kame,2,m
s101,5. Who is the first person you are going to hug when lockdown is over?,Mainmi gaiga,2,m
s101,6. Where is the first place you want to?,....,2,m
s101,7. What do you think we can do to get rid of the coronavirus?,"Beyranuni nunikunaashey, geyga thibeyshey, kulheyshey",2,m
s101,8. Is mommy a good teacher?,NA,2,m
s101,9. How did the Coronavirus start?,Beyrun,2,m
s101,10. If you had to wear protective clothing to help you what would it be?,No.,2,m
s101,11. Are you enjoying lockdown?,Majaa.,2,m
s102,1. What is the Corona virus?,It’s hmm corona,2,m
s102,2. Who is the prime minister?,Justin Trudeau,2,m
s102,3. How many days have we been in lockdown?,Umm hmmm.. 10,2,m
s102,4. Do you want to go back to daycare ?,Yep,2,m
s102,5. Who is the first person you are going to hug when lockdown is over?,Aunt Cassie Cassie Standish,2,m
s102,6. Where is the first place you want to go?,umm hmmm... to nana and papas,2,m
s102,7. What do you think we can do to get rid of the Corona virus?,Wear a mask,2,m
s102,8. Is mommy a good teacher?,Mmhmm,2,m
s102,9. How did the Corona Virus start?,Because people didn’t wash their hands 3 times,2,m
s102,10. If you had to wear protective clothing to help you what would it be?,I would wear a mask,2,m
s102,11. Are you enjoying lockdown?,Mmhmm,2,m
s102,12. What’s the best thing about staying home?,with mommy and daddy and that’s because I have a sticker and I was happy,2,m
s103,1. What is the Coronavirus?,ABC,2,f
s103,2. Who is the president?,ABC,2,f
s103,3. How many days have we been in quarantine?,ABC,2,f
s103,4. Do you want to go back to school?,YES,2,f
s103,5. Who is the first person you are going to hug when quarantine is over?,ABC,2,f
s103,6. Where is the first place you want to go?,ABC,2,f
s103,7. What do you think we can do to get rid of the coronavirus?,ABC,2,f
s103,8. Is mommy a good teacher?,NO,2,f
s103,9. How did the coronavirus start?,ABC,2,f
s103,10. If you had to wear protective clothing to help you what would it be?,YES,2,f
s103,11. Are you enjoying quarantine?,YES,2,f
s103,12. What is your favorite thing about staying home everyday?,Home,2,f
s103,13. What is your least favorite thing about staying home everyday?,Home,2,f
s104,1. What is the Coronavirus?,Sickness,2,m
s104,2. What would you wear out to keep yourself safe from the virus?,Mask and gloves,2,m
s104,3. How many days have we been in lockdown?,Um for cheeks,2,m
s104,4. Do you want to go back to school?,Um yes (he doesn’t go to school yet lol),2,m
