Question,Answer,Age,Sex
1. What is the Coronavirus?,Buhbu virus,2,m
2. Who is the president?,Munnaru,2,m
3. How many days have we been in lockdown?,Bandhu korllaafa,2,m
4. Do you want to go back to school?,Phone a nukulhey hoa hoa kame,2,m
5. Who is the first person you are going to hug when lockdown is over?,Mainmi gaiga,2,m
6. Where is the first place you want to?,....,2,m
7. What do you think we can do to get rid of the coronavirus?,"Beyranuni nunikunaashey, geyga thibeyshey, kulheyshey",2,m
8. Is mommy a good teacher?,NA,2,m
9. How did the Coronavirus start?,Beyrun,2,m
10. If you had to wear protective clothing to help you what would it be?,No.,2,m
11. Are you enjoying lockdown?,Majaa.,2,m
1. What is the Corona virus?,It’s hmm corona,2,m
2. Who is the prime minister?,Justin Trudeau,2,m
3. How many days have we been in lockdown?,Umm hmmm.. 10,2,m
4. Do you want to go back to daycare ?,Yep,2,m
5. Who is the first person you are going to hug when lockdown is over?,Aunt Cassie Cassie Standish,2,m
6. Where is the first place you want to go?,umm hmmm... to nana and papas,2,m
7. What do you think we can do to get rid of the Corona virus? Wear a mask,NA,2,m
8. Is mommy a good teacher?,Mmhmm,2,m
9. How did the Corona Virus start?,Because people didn’t wash their hands 3 times,2,m
10. If you had to wear protective clothing to help you what would it be?,I would wear a mask,2,m
11. Are you enjoying lockdown?,Mmhmm,2,m
12. What’s the best thing about staying home?,with mommy and daddy and that’s because I have a sticker and I was happy,2,m
Answered by: Justice age 2,NA,2,f
1. What is the Coronavirus?,ABC,2,f
2. Who is the president?,ABC,2,f
3. How many days have we been in quarantine?,ABC,2,f
4. Do you want to go back to school?,YES,2,f
5. Who is the first person you are going to hug when quarantine is over?,ABC,2,f
6. Where is the first place you want to go?,ABC,2,f
7. What do you think we can do to get rid of the coronavirus?,ABC,2,f
8. Is mommy a good teacher?,NO,2,f
9. How did the coronavirus start?,ABC,2,f
10. If you had to wear protective clothing to help you what would it be?,YES,2,f
11. Are you enjoying quarantine?,YES,2,f
12. What is your favorite thing about staying home everyday?,Home,2,f
13. What is your least favorite thing about staying home everyday?,Home,2,f
1. What is the Coronavirus?,Sickness,2,m
2. What would you wear out to keep yourself safe from the virus?,Mask and gloves,2,m
3. How many days have we been in lockdown?,Um for cheeks,2,m
4. Do you want to go back to school?,Um yes (he doesn’t go to school yet lol),2,m
5. Who is the first person you are going to hug when lockdown is over?,I don’t want a hug,2,m
6. Where is the first place you want to go after lockdown?,Um go um to Tacoma to see cheetahs,2,m
7. What do you think we can do to get rid of the Coronavirus?,Um we use bandaids,2,m
8. Is mommy/daddy a good teacher?,Um no,2,m
9. How did the Coronavirus start?,With the eyes,2,m
10. Are you enjoying lockdown?,Um no,2,m
1. What is the Coronavirus?,Silence. Blank stare.,2.5,m
2. Who is the prime minister?,Ummmm “pime miss” gone home again.,2.5,m
3. How many days have we been in lockdown?,LOOK! **Points to ginormous pigeon in the garden**. (I ask again). 2.,2.5,m
4. What is mommy wearing today?,Mummy wear T-shirt (correct!!),2.5,m
5. Do you want to go back to nursery?,No no. No thank you. Umm *thinks* yes please mummy. NO MUMMY NO!!!!!!!,2.5,m
6. Who is the first person you are going to see when lockdown ends?,Corny go see Nanny.,2.5,m
7. Where is the first place you want to go?,Go nursery. Go nursery x382. ——> NO MUMMY NO NURSERY!!!!,2.5,m
8. What do you think we can do to get rid of the Coronavirus?,Jump like this!! *does outrageously fake laugh*,2.5,m
9. Is mummy a good teacher?,Yes. **I ask him what things I teach him?) Mummy teach**... dancing! (Again correct!! ),2.5,m
10. If coronavirus was an animal what animal would it be?,Lion.... LION!,2.5,m
11. How did the Coronavirus start?,Ummm. Start here.,2.5,m
12.If you had to wear protective clothing to help you what would it be?,Corny wear this one. *Points to his white chino shorts.*,2.5,m
1. What is the Coronavirus," ""Oh, that's a hard one. The things that look like the moon, but that are red, that's what coronavirus is... oh and they have those little arrows on them.""",3,f
2. Who is the president," ""Huh, hmmm... I don't know..."" *flopped around on the couch for a few minutes*, ""I think maybe Nonnie",3,f
3. How many days have we been in lockdown," ""Maybe 1",3,f
4. Do you want to go back to school,"""Mmmmhmmmm""",3,f
5. Who is the first person you are going to hug when lockdown is over,"  ""Nonnie and Gigi, I want to hug them when they come visit me or I can go see them! I just wanna hug because they would love that so much""",3,f
6. Where is the first place you want to go when the lockdown is over," ""The library, I love the library.""",3,f
7. What do you think we can do to make the coronavirus go away," ""I got it! Just use some fans. I love fans.""",3,f
8. Is Mama a good teacher," ""Hmmm, yeah.""",3,f
9. How did the Coronavirus start," ""By closing down everything.""",3,f
"10. If you had to wear protective clothing to help you, what would it be"," ""Ohhh, a rain hat, like a beach hat, a rain coat and jacket, that's what I'd need.""",3,f
11. Are you enjoying the lockdown,"  ""No. Hmmm maybe actually yeah, because it feels fun.""",3,f
12. What is the best thing about having to stay home,"  ""Playing outside.""",3,f
1. What is the coronavirus, “It’s a little tiger with Simba and Scar.”,3,m
2. Who is the president, “What What are you talking about Presents,3,m
3. How many days have we been in lockdown," 1, 2, 3, 4, 5, 6, 7......proceeds until he counts to 15 then “seben-teen”",3,m
4. Do you want to go back to school," “Um, no I don’t.”",3,m
5. Who is the first person you are going to hug when lockdown is over, “Evie” (daycare girlfriend I guess,3,m
6. Where is the first place you want to go,“Church”,3,m
7. What do you think we can do to get rid of the Coronavirus, “I know! Elsa can come and use her magic!”,3,m
8. Is mommy a good teacher,"“No, you’re not!”",3,m
9. How did the virus start, “I don’t know.”,3,m
10. If you had to wear protective clothing to help you what would it be, “I don’t know! Don’t talk about the germs!”,3,m
11. Are you enjoying lockdown," “No, I don’t! I’m mad!”",3,m
1. What is the Coronavirus?,Tynli- the coronavirus. It’s a virus and it makes you sick .,3,f
2. Who is the president of the United States?,Tynli- Jesus,3,f
3. How many days have we been in lockdown?,Tynli- 20 hours?,3,f
4. Do you want school to start back up?,Tynli- yes! I love Sunday School,3,f
5. Who is the first person you are going to hug when lockdown is over?,We aren’t really in Lockdown so,3,f
6. Where is the first place you want to go?,Tynli- a toy store?,3,f
7. What do you think we can do to get rid of the Coronavirus?,- Tynli- just pray. Jesus will take it away.,3,f
8. Is mommy a good teacher?,Tynli- of course,3,f
9. How did the Coronavirus start?,-Tynli- I don’t know? Can you tell me? Why are we answering these questions,3,f
10. If you had to wear protective clothing to help you what would it be?,-Tynli- a princess outfit,3,f
11. Are you enjoying lockdown?,- we aren’t on lock down,3,f
12: What are you enjoying most about being at home?,- Tynli- playing with Bubba every day,3,f
1. What is the Coronavirus?,Huh? What did you say?” Repeated. “I don’t know. What is it?,3,f
2. Who is the president?,Mommy. Mommy is the baby pirate,3,f
3. How many days have we been in lockdown?,45 (45 and 5 are her favorite numbers ),3,f
4. Do you want to go back to school?,"“Now?” “Not now, later”",3,f
5. Who is the first person you are going to hug when lockdown is over?,My friends that live at school.,3,f
6. Where is the first place you want to go when the lockdown is over?,To the store to get me some M&Ms and to my school.,3,f
7. What do you think we can do to make the coronavirus go away?,"”with a washing machine""",3,f
8. Is Mama a good teacher?,Yes but I’m the teacher,3,f
9. How did the Coronavirus start?,The people,3,f
